Experiment: Force vs. Position
Motor type: Motor Fiber
Fiber length (mm): 
Number of fibers: 
Insulator: 
State: A
Sample rate (Hz): 400
Absolute time (s), Relative time (s), Force (mN), Position (mm), hv_set (V), hv_vm (V), hv_err (V), lv_set (V), lv_vm (V), lv_err (V),cm_w1 (uA), cm_w2 (uA), cm_w3 (uA)
2697777.37134490, 0.00000000, -0.044579, 20.000, 1000.0,  999.7,  0.3,  0.79,  0.84, -0.05,  0.0,  0.0,  0.0
2697777.37384490, 0.00250000, -0.044579, 20.000, 1000.0,  999.7,  0.3,  0.79,  0.84, -0.05,  0.0,  0.0,  0.0
2697777.37634490, 0.00500000, 0.016751, 20.000, 1000.0,  999.7,  0.3,  0.79,  0.84, -0.05,  0.0,  0.0,  0.0
2697777.37884490, 0.00750000, 0.087433, 20.000, 1000.0,  999.7,  0.3,  0.79,  0.84, -0.05,  0.0,  0.0,  0.0
2697777.38134490, 0.01000000, 0.068796, 20.000, 1000.0,  999.7,  0.3,  0.79,  0.84, -0.05,  0.0,  0.0,  0.0
2697777.38384490, 0.01250000, -0.221665, 20.000, 1000.0,  999.7,  0.3,  0.79,  0.84, -0.05,  0.0,  0.0,  0.0
2697777.38634490, 0.01500000, -0.424813, 20.000, 1000.0,  999.7,  0.3,  0.79,  0.84, -0.05,  0.0,  0.0,  0.0
2697777.38884490, 0.01750000, -0.089754, 20.000, 1000.0,  999.7,  0.3,  0.79,  0.84, -0.05,  0.0,  0.0,  0.0
2697777.39134490, 0.02000000, 0.245304, 20.000, 1000.0,  999.7,  0.3,  0.79,  0.84, -0.05,  0.0,  0.0,  0.0
2697777.39384490, 0.02250000, 0.369427, 20.000, 1000.0,  999.7,  0.3,  0.79,  0.84, -0.05,  0.0,  0.0,  0.0
2697777.39634490, 0.02500000, 0.378700, 20.000, 1000.0,  999.7,  0.3,  0.79,  0.84, -0.05,  0.0,  0.0,  0.0
2697777.39884490, 0.02750000, 0.122899, 20.000, 1000.0,  999.7,  0.3,  0.79,  0.84, -0.05,  0.0,  0.0,  0.0
2697777.40134490, 0.03000000, -0.387795, 20.000, 1000.0,  999.7,  0.3,  0.79,  0.84, -0.05,  0.0,  0.0,  0.0
2697777.40384490, 0.03250000, -0.450830, 20.000, 1000.0,  999.7,  0.3,  0.79,  0.84, -0.05,  0.0,  0.0,  0.0
2697777.40634490, 0.03500000, -0.450830, 20.000, 1000.0,  999.7,  0.3,  0.79,  0.84, -0.05,  0.0,  0.0,  0.0
2697777.40884490, 0.03750000, -0.168586, 20.000, 1000.0,  999.7,  0.3,  0.79,  0.84, -0.05,  0.0,  0.0,  0.0
2697777.41134490, 0.04000000, 0.312552, 20.000, 1000.0,  999.7,  0.3,  0.79,  0.84, -0.04,  0.0,  0.0,  0.0
2697777.41384490, 0.04250000, 0.294146, 20.000, 1000.0,  999.7,  0.3,  0.79,  0.84, -0.04,  0.0,  0.0,  0.0
2697777.41634490, 0.04500000, 0.275740, 20.000, 1000.0,  999.7,  0.3,  0.79,  0.84, -0.04,  0.0,  0.0,  0.0
2697777.41884490, 0.04750000, 0.257333, 20.000, 1000.0,  999.7,  0.3,  0.79,  0.84, -0.04,  0.0,  0.0,  0.0
2697777.42134490, 0.05000000, 0.057698, 20.000, 1000.0,  999.7,  0.3,  0.79,  0.84, -0.04,  0.0,  0.0,  0.0
2697777.42384490, 0.05250000, -0.363708, 20.000, 1000.0,  999.7,  0.3,  0.79,  0.84, -0.04,  0.0,  0.0,  0.0
2697777.42634490, 0.05500000, -0.308067, 20.000, 1000.0,  999.7,  0.3,  0.79,  0.84, -0.04,  0.0,  0.0,  0.0
