Experiment: Force vs. Position
Motor type: Motor Fiber
Fiber length (mm): 10
Number of fibers: 3
Insulator: One
State: C
Sample rate (Hz): 400
Absolute time (s), Relative time (s), Force (mN), Position (mm), hv_set (V), hv_vm (V), hv_err (V), lv_set (V), lv_vm (V), lv_err (V),cm_w1 (uA), cm_w2 (uA), cm_w3 (uA)
2697433.37493380, 0.00000000, -0.516480, 20.000, 1500.0, 1500.9, -0.9,  1.50,  1.46,  0.05,  0.0,  0.0,  0.0
2697433.37743380, 0.00250000, 0.144289, 20.000, 1500.0, 1501.2, -1.2,  1.50,  1.46,  0.05,  0.0,  0.0,  0.0
2697433.37993380, 0.00500000, 0.532189, 20.000, 1500.0, 1501.4, -1.4,  1.50,  1.46,  0.04,  0.0,  0.0,  0.0
2697433.38243380, 0.00750000, 0.414886, 20.000, 1500.0, 1501.5, -1.5,  1.50,  1.46,  0.04,  0.0,  0.0,  0.0
2697433.38493380, 0.01000000, 0.120522, 20.000, 1500.0, 1501.3, -1.3,  1.50,  1.46,  0.04,  0.0,  0.0,  0.0
2697433.38743380, 0.01250000, 0.073901, 20.000, 1500.0, 1501.2, -1.2,  1.50,  1.46,  0.05,  0.0,  0.0,  0.0
2697433.38993380, 0.01500000, -0.196369, 20.000, 1500.0, 1501.1, -1.1,  1.50,  1.46,  0.05,  0.0,  0.0,  0.0
2697433.39243380, 0.01750000, -0.595803, 20.000, 1500.0, 1501.0, -1.0,  1.50,  1.46,  0.05,  0.0,  0.0,  0.0
2697433.39493380, 0.02000000, -0.587066, 20.000, 1500.0, 1500.9, -0.9,  1.50,  1.46,  0.05,  0.0,  0.0,  0.0
2697433.39743380, 0.02250000, -0.498460, 20.000, 1500.0, 1500.8, -0.8,  1.50,  1.46,  0.05,  0.0,  0.0,  0.0
2697433.39993380, 0.02500000, -0.409854, 20.000, 1500.0, 1500.7, -0.7,  1.50,  1.46,  0.05,  0.0,  0.0,  0.0
2697433.40243380, 0.02750000, -0.321248, 20.000, 1500.0, 1500.5, -0.5,  1.50,  1.46,  0.05,  0.0,  0.0,  0.0
