--------------------Experiment_Info------------------------

Datetime: 11-25-47_02-08-2024
Characterization: Static
Mode: Auto
Experiment: Force vs. Position
Modulation: OFF
Control sequence: A-B-C
Start position (mm): 0
End position (mm): 1.2
Step size (mm): 5
Target voltage (V): 3000

-----------------------Motor_Info--------------------------

Motor type: Motor Fiber
Motor name: 
Fiber length (mm): 
Number of fibers: 
Insulator: 

---------------------Program_Info-------------------------

Sample rate (Hz): 400

----------------------Data_Info---------------------------

state, abs. t (s), rel. t (s), F (mN), p (mm), v (mm/s), hv_set (kV), hv_vm (kV), hv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA)

A, 342050.27359680, 0.0000, -4.734266, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.27609680, 0.0025, -4.781781, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.27859680, 0.0050, -4.825286, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.28109680, 0.0075, -4.835251, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.28359680, 0.0100, -4.840151, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.28609680, 0.0125, -4.813611, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.28859680, 0.0150, -4.787071, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.29109680, 0.0175, -4.760531, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.29359680, 0.0200, -4.740186, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.29609680, 0.0225, -4.872162, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.29859680, 0.0250, -4.872162, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.30109680, 0.0275, -4.872162, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.30359680, 0.0300, -4.872162, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.30609680, 0.0325, -4.928403, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.30859680, 0.0350, -4.989006, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.31109680, 0.0375, -4.989360, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.31359680, 0.0400, -4.984077, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.31609680, 0.0425, -4.975671, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.31859680, 0.0450, -4.855573, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.32109680, 0.0475, -4.913973, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.32359680, 0.0500, -4.980455, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.32609680, 0.0525, -5.046936, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.32859680, 0.0550, -5.055564, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.33359680, 0.0600, -5.067996, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.33609680, 0.0625, -4.996514, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.33859680, 0.0650, -5.000622, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.34109680, 0.0675, -5.052372, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.34359680, 0.0700, -5.120212, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.34609680, 0.0725, -5.127607, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.34859680, 0.0750, -5.070145, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.35109680, 0.0775, -5.066386, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.35359680, 0.0800, -5.155218, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.35609680, 0.0825, -5.175057, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.35859680, 0.0850, -5.153838, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.36109680, 0.0875, -5.117282, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.36359680, 0.0900, -5.106952, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.36609680, 0.0925, -5.127537, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.36859680, 0.0950, -5.148121, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.37109680, 0.0975, -5.215437, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.37359680, 0.1000, -5.269982, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.37609680, 0.1025, -5.291503, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.37859680, 0.1050, -5.313024, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.38359680, 0.1100, -5.351298, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.38609680, 0.1125, -5.351152, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.38859680, 0.1150, -5.346560, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.39109680, 0.1175, -5.341968, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.39359680, 0.1200, -5.319416, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.39609680, 0.1225, -5.301763, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.39859680, 0.1250, -5.341362, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.40109680, 0.1275, -5.380961, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.40359680, 0.1300, -5.399858, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.40609680, 0.1325, -5.401548, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.40859680, 0.1350, -5.369529, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.41109680, 0.1375, -5.399208, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.41359680, 0.1400, -5.414869, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.41609680, 0.1425, -5.466970, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.41859680, 0.1450, -5.538274, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.42109680, 0.1475, -5.523056, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.42359680, 0.1500, -5.479794, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
