--------------------Experiment_Info------------------------

Datetime: 13-17-39_04-07-2024
Characterization: Static
Mode: Auto
Experiment: Force vs. Voltage and Position
Modulation: OFF
Control sequence: A-B-C
Start position (mm): 5
End position (mm): 5
Step size (mm): 1
Start voltage (V): 2000
End voltage (V): 3000
Step voltage (V): 500

-----------------------Motor_Info--------------------------

Motor type: Motor Fiber
Motor name: 
Fiber length (mm): 
Number of fibers: 
Insulator: 

---------------------Program_Info-------------------------

Sample rate (Hz): 400

----------------------Data_Info---------------------------

state, abs. t (s), rel. t (s), F (mN), p (mm), v (mm/s), hv_set (kV), hv_vm (kV), hv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA)

A, 707725.61135240, 0.0000,  1.327177, 5.000, 3.5, 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
A, 707725.61385240, 0.0025,  1.331558, 5.000, 3.5, 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
A, 707725.61635240, 0.0050,  1.374492, 5.000, 3.5, 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
A, 707725.61885240, 0.0075,  1.301285, 5.000, 3.5, 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
A, 707725.62135240, 0.0100,  1.243732, 5.000, 3.5, 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
A, 707725.62385240, 0.0125,  1.210857, 5.000, 3.5, 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
A, 707725.62635240, 0.0150,  1.283595, 5.000, 3.5, 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
A, 707725.62885240, 0.0175,  1.269587, 5.000, 3.5, 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
A, 707725.63135240, 0.0200,  1.255553, 5.000, 3.5, 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
A, 707725.63385240, 0.0225,  1.330981, 5.000, 3.5, 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
A, 707725.63635240, 0.0250,  1.298849, 5.000, 3.5, 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
A, 707725.63885240, 0.0275,  1.298849, 5.000, 3.5, 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
A, 707725.64135240, 0.0300,  1.318039, 5.000, 3.5, 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
A, 707725.64385240, 0.0325,  1.246271, 5.000, 3.5, 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
A, 707725.64635240, 0.0350,  1.242769, 5.000, 3.5, 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
A, 707725.64885240, 0.0375,  1.258747, 5.000, 3.5, 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
A, 707725.65135240, 0.0400,  1.321023, 5.000, 3.5, 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
A, 707725.65385240, 0.0425,  1.322819, 5.000, 3.5, 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
A, 707725.65635240, 0.0450,  1.322188, 5.000, 3.5, 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
A, 707725.65885240, 0.0475,  1.318750, 5.000, 3.5, 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
A, 707725.66135240, 0.0500,  1.315312, 5.000, 3.5, 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
A, 707725.66635240, 0.0550,  1.346789, 5.000, 3.5, 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
A, 707725.66885240, 0.0575,  1.347007, 5.000, 3.5, 2000.0, 1997.6,   2.4,  0.0,  0.0,  0.0
A, 707725.67135240, 0.0600,  1.358941, 5.000, 3.5, 2000.0, 1997.8,   2.2,  0.0,  0.0,  0.0
A, 707725.67385240, 0.0625,  1.366992, 5.000, 3.5, 2000.0, 1998.1,   1.9,  0.0,  0.0,  0.0
A, 707725.67635240, 0.0650,  1.379689, 5.000, 3.5, 2000.0, 1998.3,   1.7,  0.0,  0.0,  0.0
A, 707725.67885240, 0.0675,  1.399472, 5.000, 3.5, 2000.0, 1998.6,   1.4,  0.0,  0.0,  0.0
A, 707725.68135240, 0.0700,  1.378443, 5.000, 3.5, 2000.0, 1998.8,   1.2,  0.0,  0.0,  0.0
A, 707725.68385240, 0.0725,  1.306257, 5.000, 3.5, 2000.0, 1999.0,   1.0,  0.0,  0.0,  0.0
A, 707725.68635240, 0.0750,  1.277058, 5.000, 3.5, 2000.0, 1999.3,   0.7,  0.0,  0.0,  0.0
A, 707725.68885240, 0.0775,  1.308412, 5.000, 3.5, 2000.0, 1999.5,   0.5,  0.0,  0.0,  0.0
A, 707725.69135240, 0.0800,  1.413371, 5.000, 3.5, 2000.0, 1999.8,   0.2,  0.0,  0.0,  0.0
A, 707725.69385240, 0.0825,  1.472258, 5.000, 3.5, 2000.0, 2000.0,  -0.0,  0.0,  0.0,  0.0
A, 707725.69635240, 0.0850,  1.429595, 5.000, 3.5, 2000.0, 2000.3,  -0.3,  0.0,  0.0,  0.0
A, 707725.69885240, 0.0875,  1.432225, 5.000, 3.5, 2000.0, 2000.5,  -0.5,  0.0,  0.0,  0.0
A, 707725.70135240, 0.0900,  1.409393, 5.000, 3.5, 2000.0, 2000.8,  -0.8,  0.0,  0.0,  0.0
A, 707725.70385240, 0.0925,  1.406574, 5.000, 3.5, 2000.0, 2001.0,  -1.0,  0.0,  0.0,  0.0
