--------------------Experiment_Info------------------------

Datetime: 13-19-52_29-07-2024
Characterization: Static
Mode: Auto
Experiment: Force vs. Frequency and Position
Modulation: ON
Control sequence: <PyQt6.QtWidgets.QLabel object at 0x0000026BEAF6FD90>
Modulation frequency (Hz): 10.0
Start position (mm): 45
End position (mm): 45
Step size (mm): 0
Target voltage (V): 2500
Start mod. freq. (Hz): 10
End mod. freq. (Hz): 50
Step mod. freq. (Hz): 10

-----------------------Motor_Info--------------------------

Motor type: Motor Fiber
Motor name: 
Fiber length (mm): 
Number of fibers: 
Insulator: 

---------------------Program_Info-------------------------

Sample rate (Hz): 400

----------------------Data_Info---------------------------

state, abs. t (s), rel. t (s), F (mN), p (mm), v (mm/s), hv_set (kV), hv_vm (kV), hv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA), freq (Hz), DC (%), ph1 (deg), ph2 (deg), ph3 (deg)

A-D, 3282.45852780, 0.0000,  1.362688, 45.000, 2.5, 2500.0, 2523.8, -23.8,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.46102780, 0.0025,  1.919000, 45.000, 2.5, 2500.0, 2523.4, -23.4,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.46352780, 0.0050, -1.708210, 45.000, 2.5, 2500.0, 2522.9, -22.9,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.46602780, 0.0075, -1.725128, 45.000, 2.5, 2500.0, 2522.5, -22.5,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.46852780, 0.0100,  1.357043, 45.000, 2.5, 2500.0, 2522.0, -22.0,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.47102780, 0.0125,  0.774904, 45.000, 2.5, 2500.0, 2521.6, -21.6,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.47352780, 0.0150, -1.523851, 45.000, 2.5, 2500.0, 2521.8, -21.8,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.47602780, 0.0175,  0.122530, 45.000, 2.5, 2500.0, 2522.8, -22.8,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.47852780, 0.0200,  1.692942, 45.000, 2.5, 2500.0, 2523.8, -23.8,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.48102780, 0.0225,  0.463472, 45.000, 2.5, 2500.0, 2524.8, -24.8,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.48352780, 0.0250, -1.199880, 45.000, 2.5, 2500.0, 2525.8, -25.8,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.48602780, 0.0275,  1.474593, 45.000, 2.5, 2500.0, 2526.8, -26.8,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.48852780, 0.0300,  1.119741, 45.000, 2.5, 2500.0, 2527.8, -27.8,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.49102780, 0.0325,  0.093473, 45.000, 2.5, 2500.0, 2528.8, -28.8,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.49352780, 0.0350,  0.092523, 45.000, 2.5, 2500.0, 2529.8, -29.8,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.49602780, 0.0375,  0.191891, 45.000, 2.5, 2500.0, 2530.8, -30.8,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.49852780, 0.0400, -0.558645, 45.000, 2.5, 2500.0, 2531.8, -31.8,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.50102780, 0.0425, -1.462420, 45.000, 2.5, 2500.0, 2532.8, -32.8,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.50352780, 0.0450, -1.557946, 45.000, 2.5, 2500.0, 2533.8, -33.8,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.50602780, 0.0475, -0.808672, 45.000, 2.5, 2500.0, 2534.8, -34.8,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.50852780, 0.0500,  0.657816, 45.000, 2.5, 2500.0, 2535.8, -35.8,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.51352780, 0.0550,  1.535718, 45.000, 2.5, 2500.0, 2537.6, -37.6,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.51602780, 0.0575,  1.044493, 45.000, 2.5, 2500.0, 2538.1, -38.1,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.51852780, 0.0600, -0.294190, 45.000, 2.5, 2500.0, 2538.6, -38.6,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.52102780, 0.0625, -0.680822, 45.000, 2.5, 2500.0, 2539.1, -39.1,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.52352780, 0.0650,  0.667999, 45.000, 2.5, 2500.0, 2539.6, -39.6,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.52602780, 0.0675,  0.061051, 45.000, 2.5, 2500.0, 2540.1, -40.1,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.52852780, 0.0700, -0.998987, 45.000, 2.5, 2500.0, 2540.6, -40.6,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
