--------------------Experiment_Info------------------------

Datetime: 13-22-04_04-07-2024
Characterization: Static
Mode: Auto
Experiment: Force vs. Frequency and Position
Modulation: ON
Control sequence: <PyQt6.QtWidgets.QLabel object at 0x00000203040636B0>
Modulation frequency (Hz): 50.0
Start position (mm): 5
End position (mm): 5
Step size (mm): 1
Target voltage (V): 3000
Start mod. freq. (Hz): 50
End mod. freq. (Hz): 100
Step mod. freq. (Hz): 10

-----------------------Motor_Info--------------------------

Motor type: Motor Fiber
Motor name: 
Fiber length (mm): 
Number of fibers: 
Insulator: 

---------------------Program_Info-------------------------

Sample rate (Hz): 400

----------------------Data_Info---------------------------

state, abs. t (s), rel. t (s), F (mN), p (mm), v (mm/s), hv_set (kV), hv_vm (kV), hv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA), freq (Hz), DC (%), ph1 (deg), ph2 (deg), ph3 (deg)

A-D, 707990.92019390, 0.0000,  0.493275, 5.000, 3.5, 3000.0, 2961.4,  38.6,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707990.92269390, 0.0025,  0.000098, 5.000, 3.5, 3000.0, 2964.8,  35.2,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707990.92519390, 0.0050, -0.044937, 5.000, 3.5, 3000.0, 2968.3,  31.7,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707990.92769390, 0.0075,  0.175571, 5.000, 3.5, 3000.0, 2971.7,  28.3,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707990.93019390, 0.0100, -0.359204, 5.000, 3.5, 3000.0, 2975.2,  24.8,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707990.93269390, 0.0125, -0.521023, 5.000, 3.5, 3000.0, 2978.6,  21.4,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707990.93519390, 0.0150, -0.165489, 5.000, 3.5, 3000.0, 2982.1,  17.9,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707990.93769390, 0.0175,  0.190046, 5.000, 3.5, 3000.0, 2985.5,  14.5,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707990.94019390, 0.0200,  0.192779, 5.000, 3.5, 3000.0, 2989.0,  11.0,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707990.94269390, 0.0225,  0.112950, 5.000, 3.5, 3000.0, 2992.4,   7.6,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707990.94519390, 0.0250,  0.411785, 5.000, 3.5, 3000.0, 2995.9,   4.1,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707990.94769390, 0.0275,  0.641940, 5.000, 3.5, 3000.0, 2999.3,   0.7,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707990.95019390, 0.0300,  0.165909, 5.000, 3.5, 3000.0, 3002.8,  -2.8,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707990.95519390, 0.0350,  0.539532, 5.000, 3.5, 3000.0, 3010.5, -10.5,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707990.95769390, 0.0375,  0.801421, 5.000, 3.5, 3000.0, 3019.3, -19.3,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707990.96019390, 0.0400,  0.927929, 5.000, 3.5, 3000.0, 3028.0, -28.0,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707990.96269390, 0.0425,  0.841273, 5.000, 3.5, 3000.0, 3036.8, -36.8,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707990.96519390, 0.0450, -0.039096, 5.000, 3.5, 3000.0, 3045.6, -45.6,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707990.96769390, 0.0475,  0.755474, 5.000, 3.5, 3000.0, 3054.3, -54.3,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707990.97019390, 0.0500, -0.140986, 5.000, 3.5, 3000.0, 3063.1, -63.1,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707990.97269390, 0.0525, -0.330959, 5.000, 3.5, 3000.0, 3071.8, -71.8,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707990.97519390, 0.0550,  0.464954, 5.000, 3.5, 3000.0, 3080.6, -80.6,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707990.97769390, 0.0575,  0.957165, 5.000, 3.5, 3000.0, 3089.3, -89.3,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707990.98019390, 0.0600,  0.891723, 5.000, 3.5, 3000.0, 3098.1, -98.1,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707990.98269390, 0.0625,  0.221240, 5.000, 3.5, 3000.0, 3106.8, -106.8,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707990.98519390, 0.0650,  0.053470, 5.000, 3.5, 3000.0, 3115.6, -115.6,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707990.98769390, 0.0675,  0.692583, 5.000, 3.5, 3000.0, 3124.3, -124.3,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707990.99019390, 0.0700, -0.150213, 5.000, 3.5, 3000.0, 3133.1, -133.1,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707990.99269390, 0.0725, -0.299412, 5.000, 3.5, 3000.0, 3141.8, -141.8,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707990.99519390, 0.0750,  0.293506, 5.000, 3.5, 3000.0, 3150.6, -150.6,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707990.99769390, 0.0775,  0.585507, 5.000, 3.5, 3000.0, 3159.3, -159.3,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.00019390, 0.0800,  0.559242, 5.000, 3.5, 3000.0, 3168.1, -168.1,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.00269390, 0.0825,  0.286659, 5.000, 3.5, 3000.0, 3176.8, -176.8,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.00519390, 0.0850,  0.028818, 5.000, 3.5, 3000.0, 3185.6, -185.6,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.00769390, 0.0875,  0.633355, 5.000, 3.5, 3000.0, 3194.3, -194.3,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.01019390, 0.0900,  0.124218, 5.000, 3.5, 3000.0, 3203.1, -203.1,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.01269390, 0.0925,  0.197183, 5.000, 3.5, 3000.0, 3211.9, -211.9,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.01519390, 0.0950,  0.605446, 5.000, 3.5, 3000.0, 3220.6, -220.6,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.01769390, 0.0975,  0.981480, 5.000, 3.5, 3000.0, 3211.7, -211.7,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.02019390, 0.1000,  0.585771, 5.000, 3.5, 3000.0, 3202.6, -202.6,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.02269390, 0.1025,  0.170706, 5.000, 3.5, 3000.0, 3193.5, -193.5,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.02519390, 0.1050, -0.088013, 5.000, 3.5, 3000.0, 3184.4, -184.4,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.02769390, 0.1075, -0.028848, 5.000, 3.5, 3000.0, 3175.3, -175.3,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.03019390, 0.1100, -0.733656, 5.000, 3.5, 3000.0, 3166.2, -166.2,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.03269390, 0.1125, -0.127373, 5.000, 3.5, 3000.0, 3157.1, -157.1,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.03519390, 0.1150,  0.492664, 5.000, 3.5, 3000.0, 3148.0, -148.0,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.03769390, 0.1175,  0.599588, 5.000, 3.5, 3000.0, 3138.9, -138.9,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.04019390, 0.1200,  0.526676, 5.000, 3.5, 3000.0, 3129.8, -129.8,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.04269390, 0.1225,  0.150515, 5.000, 3.5, 3000.0, 3120.7, -120.7,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.04519390, 0.1250,  0.024879, 5.000, 3.5, 3000.0, 3111.6, -111.6,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.04769390, 0.1275,  0.606568, 5.000, 3.5, 3000.0, 3102.5, -102.5,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.05019390, 0.1300,  0.008826, 5.000, 3.5, 3000.0, 3093.4, -93.4,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.05269390, 0.1325, -0.202329, 5.000, 3.5, 3000.0, 3084.3, -84.3,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.05519390, 0.1350,  0.247725, 5.000, 3.5, 3000.0, 3075.2, -75.2,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.05769390, 0.1375,  0.566235, 5.000, 3.5, 3000.0, 3066.1, -66.1,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.06019390, 0.1400,  0.745529, 5.000, 3.5, 3000.0, 3057.0, -57.0,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.06269390, 0.1425,  0.924823, 5.000, 3.5, 3000.0, 3047.9, -47.9,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.06519390, 0.1450,  0.359067, 5.000, 3.5, 3000.0, 3038.8, -38.8,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
