Experiment: Force vs. Position
Motor type: Motor Fiber
Fiber length (mm): 20
Number of fibers: 3
Insulator: pvdf(hfp)
State: A
Sample rate (Hz): 400
Absolute time (s), Relative time (s), Force (mN), Position (mm), hv_set (kV), hv_vm (kV), hv_err (V), lv_set (V), lv_vm (V), lv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA)

2858962.36378550, 0.0000,  37.118360, 11.800, 2500.0, 2498.3,  1.7, 2.93,  2.85,  0.08, 0.0,  0.0,  0.0
2858962.36628550, 0.0025,  37.299640, 11.800, 2500.0, 2498.2,  1.8, 2.93,  2.85,  0.08, 0.0,  0.0,  0.0
2858962.36878550, 0.0050,  36.906897, 11.800, 2500.0, 2498.0,  2.0, 2.93,  2.85,  0.08, 0.0,  0.0,  0.0
2858962.37128550, 0.0075,  36.249942, 11.800, 2500.0, 2497.8,  2.2, 2.93,  2.85,  0.08, 0.0,  0.0,  0.0
2858962.37378550, 0.0100,  34.699213, 11.800, 2500.0, 2497.7,  2.3, 2.93,  2.85,  0.08, 0.0,  0.0,  0.0
2858962.37628550, 0.0125,  33.102502, 11.800, 2500.0, 2497.5,  2.5, 2.93,  2.85,  0.08, 0.0,  0.0,  0.0
2858962.37878550, 0.0150,  34.323468, 11.800, 2500.0, 2497.4,  2.6, 2.93,  2.85,  0.08, 0.0,  0.0,  0.0
2858962.38128550, 0.0175,  35.264738, 11.800, 2500.0, 2497.2,  2.8, 2.93,  2.85,  0.08, 0.0,  0.0,  0.0
2858962.38378550, 0.0200,  35.744290, 11.800, 2500.0, 2497.1,  2.9, 2.93,  2.85,  0.08, 0.0,  0.0,  0.0
2858962.38628550, 0.0225,  36.223842, 11.800, 2500.0, 2496.9,  3.1, 2.93,  2.85,  0.09, 0.0,  0.0,  0.0
2858962.38878550, 0.0250,  36.703394, 11.800, 2500.0, 2496.8,  3.2, 2.93,  2.85,  0.09, 0.0,  0.0,  0.0
2858962.39128550, 0.0275,  35.417539, 11.800, 2500.0, 2496.6,  3.4, 2.93,  2.85,  0.09, 0.0,  0.0,  0.0
2858962.39378550, 0.0300,  34.496423, 11.800, 2500.0, 2496.4,  3.6, 2.93,  2.85,  0.09, 0.0,  0.0,  0.0
2858962.39628550, 0.0325,  33.759774, 11.800, 2500.0, 2496.3,  3.7, 2.93,  2.84,  0.09, 0.0,  0.0,  0.0
2858962.39878550, 0.0350,  34.107150, 11.800, 2500.0, 2496.1,  3.9, 2.93,  2.84,  0.09, 0.0,  0.0,  0.0
2858962.40128550, 0.0375,  34.531029, 11.800, 2500.0, 2496.0,  4.0, 2.93,  2.84,  0.09, 0.0,  0.0,  0.0
2858962.40378550, 0.0400,  34.954908, 11.800, 2500.0, 2495.8,  4.2, 2.93,  2.84,  0.09, 0.0,  0.0,  0.0
2858962.40628550, 0.0425,  36.743098, 11.800, 2500.0, 2495.7,  4.3, 2.93,  2.84,  0.09, 0.0,  0.0,  0.0
2858962.40878550, 0.0450,  37.313625, 11.800, 2500.0, 2495.5,  4.5, 2.93,  2.84,  0.09, 0.0,  0.0,  0.0
2858962.41128550, 0.0475,  36.904905, 11.800, 2500.0, 2495.3,  4.7, 2.93,  2.84,  0.09, 0.0,  0.0,  0.0
2858962.41628550, 0.0525,  34.143127, 11.800, 2500.0, 2495.3,  4.7, 2.93,  2.84,  0.09, 0.0,  0.0,  0.0
2858962.41878550, 0.0550,  33.845715, 11.800, 2500.0, 2495.5,  4.5, 2.93,  2.84,  0.09, 0.0,  0.0,  0.0
2858962.42128550, 0.0575,  34.784447, 11.800, 2500.0, 2495.7,  4.3, 2.93,  2.84,  0.09, 0.0,  0.0,  0.0
2858962.42378550, 0.0600,  36.094268, 11.800, 2500.0, 2495.9,  4.1, 2.93,  2.84,  0.09, 0.0,  0.0,  0.0
2858962.42628550, 0.0625,  37.078945, 11.800, 2500.0, 2496.1,  3.9, 2.93,  2.84,  0.09, 0.0,  0.0,  0.0
2858962.42878550, 0.0650,  37.252312, 11.800, 2500.0, 2496.3,  3.7, 2.93,  2.84,  0.09, 0.0,  0.0,  0.0
2858962.43128550, 0.0675,  35.750072, 11.800, 2500.0, 2496.5,  3.5, 2.93,  2.84,  0.09, 0.0,  0.0,  0.0
2858962.43378550, 0.0700,  34.290252, 11.800, 2500.0, 2496.7,  3.3, 2.93,  2.84,  0.09, 0.0,  0.0,  0.0
2858962.43628550, 0.0725,  33.379385, 11.800, 2500.0, 2496.9,  3.1, 2.93,  2.84,  0.09, 0.0,  0.0,  0.0
2858962.43878550, 0.0750,  33.909788, 11.800, 2500.0, 2497.1,  2.9, 2.93,  2.84,  0.09, 0.0,  0.0,  0.0
2858962.44128550, 0.0775,  35.113422, 11.800, 2500.0, 2497.3,  2.7, 2.93,  2.84,  0.09, 0.0,  0.0,  0.0
2858962.44378550, 0.0800,  35.613817, 11.800, 2500.0, 2497.5,  2.5, 2.93,  2.85,  0.09, 0.0,  0.0,  0.0
2858962.44628550, 0.0825,  36.114212, 11.800, 2500.0, 2497.7,  2.3, 2.93,  2.85,  0.09, 0.0,  0.0,  0.0
2858962.44878550, 0.0850,  36.614607, 11.800, 2500.0, 2497.9,  2.1, 2.93,  2.85,  0.09, 0.0,  0.0,  0.0
2858962.45128550, 0.0875,  35.612804, 11.800, 2500.0, 2498.1,  1.9, 2.93,  2.85,  0.09, 0.0,  0.0,  0.0
2858962.45378550, 0.0900,  34.318708, 11.800, 2500.0, 2498.3,  1.7, 2.93,  2.85,  0.09, 0.0,  0.0,  0.0
2858962.45628550, 0.0925,  33.734252, 11.800, 2500.0, 2498.5,  1.5, 2.93,  2.85,  0.09, 0.0,  0.0,  0.0
2858962.45878550, 0.0950,  33.485694, 11.800, 2500.0, 2498.7,  1.3, 2.93,  2.85,  0.09, 0.0,  0.0,  0.0
2858962.46128550, 0.0975,  33.237137, 11.800, 2500.0, 2498.9,  1.1, 2.93,  2.85,  0.08, 0.0,  0.0,  0.0
2858962.46378550, 0.1000,  34.830649, 11.800, 2500.0, 2499.1,  0.9, 2.93,  2.85,  0.08, 0.0,  0.0,  0.0
2858962.46628550, 0.1025,  37.323010, 11.800, 2500.0, 2499.3,  0.7, 2.93,  2.85,  0.08, 0.0,  0.0,  0.0
