Experiment: Force vs. Position
Motor type: Motor Fiber
Fiber length (mm): 20
Number of fibers: 3
Insulator: pvdf(hfp)
State: B
Sample rate (Hz): 400
Absolute time (s), Relative time (s), Force (mN), Position (mm), hv_set (kV), hv_vm (kV), hv_err (V), lv_set (V), lv_vm (V), lv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA)

2859029.34987460, 0.0000,  27.482942, 12.400, 2500.0, 2494.5,  5.5, 2.93,  2.84,  0.09, 0.0,  0.0,  0.0
2859029.35237460, 0.0025,  26.986816, 12.400, 2500.0, 2494.8,  5.2, 2.93,  2.84,  0.09, 0.0,  0.0,  0.0
2859029.35487460, 0.0050,  26.320715, 12.400, 2500.0, 2495.1,  4.9, 2.93,  2.84,  0.09, 0.0,  0.0,  0.0
2859029.35737460, 0.0075,  25.672242, 12.400, 2500.0, 2495.4,  4.6, 2.93,  2.84,  0.09, 0.0,  0.0,  0.0
2859029.35987460, 0.0100,  27.221447, 12.400, 2500.0, 2495.7,  4.3, 2.93,  2.85,  0.09, 0.0,  0.0,  0.0
2859029.36237460, 0.0125,  28.444125, 12.400, 2500.0, 2496.0,  4.0, 2.93,  2.85,  0.09, 0.0,  0.0,  0.0
2859029.36487460, 0.0150,  28.886250, 12.400, 2500.0, 2496.3,  3.7, 2.93,  2.85,  0.09, 0.0,  0.0,  0.0
2859029.36737460, 0.0175,  29.074022, 12.400, 2500.0, 2496.5,  3.5, 2.93,  2.85,  0.09, 0.0,  0.0,  0.0
2859029.36987460, 0.0200,  28.666713, 12.400, 2500.0, 2496.8,  3.2, 2.93,  2.85,  0.09, 0.0,  0.0,  0.0
2859029.37237460, 0.0225,  28.199312, 12.400, 2500.0, 2497.1,  2.9, 2.93,  2.85,  0.08, 0.0,  0.0,  0.0
2859029.37487460, 0.0250,  27.731910, 12.400, 2500.0, 2497.4,  2.6, 2.93,  2.85,  0.08, 0.0,  0.0,  0.0
2859029.37737460, 0.0275,  26.174955, 12.400, 2500.0, 2497.7,  2.3, 2.93,  2.85,  0.08, 0.0,  0.0,  0.0
2859029.37987460, 0.0300,  25.809106, 12.400, 2500.0, 2498.0,  2.0, 2.93,  2.85,  0.08, 0.0,  0.0,  0.0
2859029.38237460, 0.0325,  26.491758, 12.400, 2500.0, 2498.3,  1.7, 2.93,  2.85,  0.08, 0.0,  0.0,  0.0
2859029.38487460, 0.0350,  27.174410, 12.400, 2500.0, 2498.6,  1.4, 2.93,  2.85,  0.08, 0.0,  0.0,  0.0
2859029.38737460, 0.0375,  28.330666, 12.400, 2500.0, 2498.8,  1.2, 2.93,  2.85,  0.08, 0.0,  0.0,  0.0
2859029.38987460, 0.0400,  27.566097, 12.400, 2500.0, 2499.1,  0.9, 2.93,  2.85,  0.08, 0.0,  0.0,  0.0
2859029.39237460, 0.0425,  27.191402, 12.400, 2500.0, 2499.4,  0.6, 2.93,  2.85,  0.08, 0.0,  0.0,  0.0
2859029.39487460, 0.0450,  26.875480, 12.400, 2500.0, 2499.7,  0.3, 2.93,  2.85,  0.08, 0.0,  0.0,  0.0
2859029.39737460, 0.0475,  25.882260, 12.400, 2500.0, 2500.0,  0.0, 2.93,  2.85,  0.08, 0.0,  0.0,  0.0
2859029.39987460, 0.0500,  25.977992, 12.400, 2500.0, 2500.3, -0.3, 2.93,  2.86,  0.08, 0.0,  0.0,  0.0
2859029.40237460, 0.0525,  26.398157, 12.400, 2500.0, 2500.6, -0.6, 2.93,  2.86,  0.08, 0.0,  0.0,  0.0
2859029.40487460, 0.0550,  26.818322, 12.400, 2500.0, 2500.9, -0.9, 2.93,  2.86,  0.08, 0.0,  0.0,  0.0
2859029.40737460, 0.0575,  27.238486, 12.400, 2500.0, 2501.1, -1.1, 2.93,  2.86,  0.08, 0.0,  0.0,  0.0
2859029.40987460, 0.0600,  27.254848, 12.400, 2500.0, 2501.0, -1.0, 2.93,  2.86,  0.08, 0.0,  0.0,  0.0
2859029.41237460, 0.0625,  26.758256, 12.400, 2500.0, 2500.8, -0.8, 2.93,  2.86,  0.08, 0.0,  0.0,  0.0
2859029.41487460, 0.0650,  25.348310, 12.400, 2500.0, 2500.6, -0.6, 2.93,  2.85,  0.08, 0.0,  0.0,  0.0
2859029.41737460, 0.0675,  25.289906, 12.400, 2500.0, 2500.4, -0.4, 2.93,  2.85,  0.08, 0.0,  0.0,  0.0
