--------------------Experiment_Info------------------------

Datetime: 15-58-36_04-07-2024
Characterization: Static
Mode: Auto
Experiment: Force vs. Position
Modulation: OFF
Control sequence: A-B-C
Start position (mm): 5
End position (mm): 5
Step size (mm): 1
Target voltage (V): 3000

-----------------------Motor_Info--------------------------

Motor type: Motor Fiber
Motor name: 
Fiber length (mm): 
Number of fibers: 
Insulator: 

---------------------Program_Info-------------------------

Sample rate (Hz): 400

----------------------Data_Info---------------------------

state, abs. t (s), rel. t (s), F (mN), p (mm), v (mm/s), hv_set (kV), hv_vm (kV), hv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA)

A, 717382.76619580, 0.0000,  2.822860, 5.000, 3.5, 3000.0, 2998.0,   2.0,  0.0,  0.0,  0.0
A, 717382.76869580, 0.0025,  2.899629, 5.000, 3.5, 3000.0, 2998.2,   1.8,  0.0,  0.0,  0.0
A, 717382.77119580, 0.0050,  2.885660, 5.000, 3.5, 3000.0, 2998.4,   1.6,  0.0,  0.0,  0.0
A, 717382.77369580, 0.0075,  2.891135, 5.000, 3.5, 3000.0, 2998.6,   1.4,  0.0,  0.0,  0.0
A, 717382.77619580, 0.0100,  2.896611, 5.000, 3.5, 3000.0, 2998.8,   1.2,  0.0,  0.0,  0.0
A, 717382.77869580, 0.0125,  2.901934, 5.000, 3.5, 3000.0, 2999.0,   1.0,  0.0,  0.0,  0.0
A, 717382.78119580, 0.0150,  2.906785, 5.000, 3.5, 3000.0, 2998.9,   1.1,  0.0,  0.0,  0.0
A, 717382.78369580, 0.0175,  2.897649, 5.000, 3.5, 3000.0, 2998.8,   1.2,  0.0,  0.0,  0.0
A, 717382.78619580, 0.0200,  2.886903, 5.000, 3.5, 3000.0, 2998.7,   1.3,  0.0,  0.0,  0.0
A, 717382.78869580, 0.0225,  2.821074, 5.000, 3.5, 3000.0, 2998.7,   1.3,  0.0,  0.0,  0.0
A, 717382.79119580, 0.0250,  2.693171, 5.000, 3.5, 3000.0, 2998.6,   1.4,  0.0,  0.0,  0.0
A, 717382.79369580, 0.0275,  2.617565, 5.000, 3.5, 3000.0, 2998.5,   1.5,  0.0,  0.0,  0.0
A, 717382.79619580, 0.0300,  2.612222, 5.000, 3.5, 3000.0, 2998.4,   1.6,  0.0,  0.0,  0.0
A, 717382.79869580, 0.0325,  2.606879, 5.000, 3.5, 3000.0, 2998.3,   1.7,  0.0,  0.0,  0.0
A, 717382.80119580, 0.0350,  2.650458, 5.000, 3.5, 3000.0, 2998.2,   1.8,  0.0,  0.0,  0.0
A, 717382.80369580, 0.0375,  2.837364, 5.000, 3.5, 3000.0, 2998.1,   1.9,  0.0,  0.0,  0.0
A, 717382.80619580, 0.0400,  2.832662, 5.000, 3.5, 3000.0, 2998.1,   1.9,  0.0,  0.0,  0.0
A, 717382.80869580, 0.0425,  2.827959, 5.000, 3.5, 3000.0, 2998.0,   2.0,  0.0,  0.0,  0.0
A, 717382.81119580, 0.0450,  2.823257, 5.000, 3.5, 3000.0, 2997.9,   2.1,  0.0,  0.0,  0.0
A, 717382.81369580, 0.0475,  2.782801, 5.000, 3.5, 3000.0, 2997.8,   2.2,  0.0,  0.0,  0.0
A, 717382.81619580, 0.0500,  2.803004, 5.000, 3.5, 3000.0, 2997.7,   2.3,  0.0,  0.0,  0.0
A, 717382.81869580, 0.0525,  2.833294, 5.000, 3.5, 3000.0, 2997.6,   2.4,  0.0,  0.0,  0.0
A, 717382.82119580, 0.0550,  2.846469, 5.000, 3.5, 3000.0, 2997.5,   2.5,  0.0,  0.0,  0.0
A, 717382.82369580, 0.0575,  2.828651, 5.000, 3.5, 3000.0, 2997.4,   2.6,  0.0,  0.0,  0.0
A, 717382.82619580, 0.0600,  2.802011, 5.000, 3.5, 3000.0, 2997.4,   2.6,  0.0,  0.0,  0.0
A, 717382.82869580, 0.0625,  2.762086, 5.000, 3.5, 3000.0, 2997.3,   2.7,  0.0,  0.0,  0.0
A, 717382.83119580, 0.0650,  2.768972, 5.000, 3.5, 3000.0, 2997.2,   2.8,  0.0,  0.0,  0.0
A, 717382.83369580, 0.0675,  2.775222, 5.000, 3.5, 3000.0, 2997.1,   2.9,  0.0,  0.0,  0.0
A, 717382.83869580, 0.0725,  2.805903, 5.000, 3.5, 3000.0, 2997.1,   2.9,  0.0,  0.0,  0.0
A, 717382.84119580, 0.0750,  2.818775, 5.000, 3.5, 3000.0, 2997.2,   2.8,  0.0,  0.0,  0.0
A, 717382.84369580, 0.0775,  2.833623, 5.000, 3.5, 3000.0, 2997.4,   2.6,  0.0,  0.0,  0.0
A, 717382.84619580, 0.0800,  2.809893, 5.000, 3.5, 3000.0, 2997.5,   2.5,  0.0,  0.0,  0.0
