Motor type: Motor Fiber
Fiber length (mm): 
Number of fibers: 
Insulator: 
Sample rate (Hz): 400

Absolute time (s), Relative time (s),Force (mN), Position (mm),hv_set (kV), hv_vm (kV), hv_err (V),lv_set (V), lv_vm (V), lv_err (V),cm_w1 (uA), cm_w2 (uA), cm_w3 (uA)

2857350.55283460, 0.0000,  44853.872962, 19.505,   0.0,    2.0, -2.0, 0.00,  0.00,  0.00, 0.0,  0.0,  0.0
2857350.55533460, 0.0025,  44853.552238, 19.505,   0.0,    2.0, -2.0, 0.00,  0.00,  0.00, 0.0,  0.0,  0.0
2857350.55783460, 0.0050,  44853.040680, 19.505,   0.0,    2.0, -2.0, 0.00,  0.00,  0.00, 0.0,  0.0,  0.0
2857350.56033460, 0.0075,  44851.486597, 19.505,   0.0,    2.0, -2.0, 0.00,  0.00,  0.00, 0.0,  0.0,  0.0
2857350.56283460, 0.0100,  44850.853081, 19.505,   0.0,    2.0, -2.0, 0.00,  0.00,  0.00, 0.0,  0.0,  0.0
2857350.56533460, 0.0125,  44850.513062, 19.505,   0.0,    2.0, -2.0, 0.00,  0.00,  0.00, 0.0,  0.0,  0.0
2857350.56783460, 0.0150,  44850.173043, 19.505,   0.0,    2.0, -2.0, 0.00,  0.00,  0.00, 0.0,  0.0,  0.0
2857350.57033460, 0.0175,  44850.722784, 19.505,   0.0,    2.0, -2.0, 0.00,  0.00,  0.00, 0.0,  0.0,  0.0
2857350.57283460, 0.0200,  44853.704018, 19.505,   0.0,    2.0, -2.0, 0.00,  0.00,  0.00, 0.0,  0.0,  0.0
2857350.57533460, 0.0225,  44853.559698, 19.505,   0.0,    2.0, -2.0, 0.00,  0.00,  0.00, 0.0,  0.0,  0.0
2857350.57783460, 0.0250,  44853.300390, 19.505,   0.0,    2.0, -2.0, 0.00,  0.00,  0.00, 0.0,  0.0,  0.0
2857350.58033460, 0.0275,  44851.249156, 19.505,   0.0,    2.0, -2.0, 0.00,  0.00,  0.00, 0.0,  0.0,  0.0
2857350.58283460, 0.0300,  44850.919300, 19.505,   0.0,    2.0, -2.0, 0.00,  0.00,  0.00, 0.0,  0.0,  0.0
2857350.58533460, 0.0325,  44850.328887, 19.505,   0.0,    2.0, -2.0, 0.00,  0.00,  0.00, 0.0,  0.0,  0.0
2857350.58783460, 0.0350,  44849.738475, 19.505,   0.0,    2.0, -2.0, 0.00,  0.00,  0.00, 0.0,  0.0,  0.0
2857350.59033460, 0.0375,  44850.782365, 19.505,   0.0,    2.0, -2.0, 0.00,  0.00,  0.00, 0.0,  0.0,  0.0
2857350.59283460, 0.0400,  44853.204604, 19.505,   0.0,    2.0, -2.0, 0.00,  0.00,  0.00, 0.0,  0.0,  0.0
2857350.59533460, 0.0425,  44853.494245, 19.505,   0.0,    2.0, -2.0, 0.00,  0.00,  0.00, 0.0,  0.0,  0.0
2857350.59783460, 0.0450,  44852.839620, 19.505,   0.0,    2.0, -2.0, 0.00,  0.00,  0.00, 0.0,  0.0,  0.0
2857350.60033460, 0.0475,  44852.401076, 19.505,   0.0,    2.0, -2.0, 0.00,  0.00,  0.00, 0.0,  0.0,  0.0
2857350.60283460, 0.0500,  44851.875122, 19.505,   0.0,    2.0, -2.0, 0.00,  0.00,  0.00, 0.0,  0.0,  0.0
2857350.60533460, 0.0525,  44850.665720, 19.505,   0.0,    2.0, -2.0, 0.00,  0.00,  0.00, 0.0,  0.0,  0.0
2857350.60783460, 0.0550,  44850.665720, 19.505,   0.0,    2.0, -2.0, 0.00,  0.00,  0.00, 0.0,  0.0,  0.0
2857350.61033460, 0.0575,  44850.665720, 19.505,   0.0,    2.0, -2.0, 0.00,  0.00,  0.00, 0.0,  0.0,  0.0
2857350.61283460, 0.0600,  44851.567917, 19.505,   0.0,    2.0, -2.0, 0.00,  0.00,  0.00, 0.0,  0.0,  0.0
2857350.61533460, 0.0625,  44852.489806, 19.505,   0.0,    2.0, -2.0, 0.00,  0.00,  0.00, 0.0,  0.0,  0.0
2857350.61783460, 0.0650,  44853.411695, 19.505,   0.0,    2.0, -2.0, 0.00,  0.00,  0.00, 0.0,  0.0,  0.0
2857350.62033460, 0.0675,  44853.069194, 19.505,   0.0,    2.0, -2.0, 0.00,  0.00,  0.00, 0.0,  0.0,  0.0
2857350.62283460, 0.0700,  44852.114018, 19.505,   0.0,    2.0, -2.0, 0.00,  0.00,  0.00, 0.0,  0.0,  0.0
2857350.62533460, 0.0725,  44851.158842, 19.505,   0.0,    2.0, -2.0, 0.00,  0.00,  0.00, 0.0,  0.0,  0.0
2857350.62783460, 0.0750,  44851.707418, 19.505,   0.0,    2.0, -2.0, 0.00,  0.00,  0.00, 0.0,  0.0,  0.0
